@relation DM_predicao_dataset

@attribute data date "dd/mm/yyyy"
@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
21/06/2003,sab,12481
22/06/2003,dom,11289
23/06/2003,seg,13503
24/06/2003,ter,13736
25/06/2003,qua,13873
26/06/2003,qui,13974
27/06/2003,sex,13907
28/06/2003,sab,12670
29/06/2003,dom,11487
30/06/2003,seg,13635
01/07/2003,ter,14079
02/07/2003,qua,13512
03/07/2003,qui,13563
04/07/2003,sex,13539
05/07/2003,sab,12449
06/07/2003,dom,11376
07/07/2003,seg,13524
08/07/2003,ter,13774
09/07/2003,qua,13893
10/07/2003,qui,13985
11/07/2003,sex,13662
12/07/2003,sab,12476
13/07/2003,dom,11479
14/07/2003,seg,13573
15/07/2003,ter,13699
16/07/2003,qua,13881
17/07/2003,qui,13961
18/07/2003,sex,13764
19/07/2003,sab,12507
20/07/2003,dom,11422
21/07/2003,seg,13623
22/07/2003,ter,13810
23/07/2003,qua,13906
24/07/2003,qui,13952
25/07/2003,sex,13788
26/07/2003,sab,12433
27/07/2003,dom,11090
28/07/2003,seg,13359
29/07/2003,ter,13881
30/07/2003,qua,14039
31/07/2003,qui,14076
01/08/2003,sex,14350
02/08/2003,sab,13208
03/08/2003,dom,12011
04/08/2003,seg,14168
05/08/2003,ter,14464
06/08/2003,qua,14615
07/08/2003,qui,14702
08/08/2003,sex,14519
09/08/2003,sab,13259
10/08/2003,dom,11923
11/08/2003,seg,14263
12/08/2003,ter,14760
13/08/2003,qua,14700
14/08/2003,qui,14732
15/08/2003,sex,13165
16/08/2003,sab,13040
17/08/2003,dom,11934
18/08/2003,seg,14267
19/08/2003,ter,14170
20/08/2003,qua,14312
21/08/2003,qui,14751
22/08/2003,sex,14941
23/08/2003,sab,13570
24/08/2003,dom,12371
25/08/2003,seg,14691
26/08/2003,ter,14585
27/08/2003,qua,14704
28/08/2003,qui,14523
29/08/2003,sex,14462
30/08/2003,sab,13073
31/08/2003,dom,11754
01/09/2003,seg,13987
02/09/2003,ter,14413
03/09/2003,qua,14559
04/09/2003,qui,14629
05/09/2003,sex,14585
06/09/2003,sab,13345
07/09/2003,dom,12128
08/09/2003,seg,14681
09/09/2003,ter,15081
10/09/2003,qua,15066
11/09/2003,qui,14858
12/09/2003,sex,14639
13/09/2003,sab,13255
14/09/2003,dom,12098
15/09/2003,seg,14458
16/09/2003,ter,14307
17/09/2003,qua,14556
18/09/2003,qui,14787
19/09/2003,sex,14927
20/09/2003,sab,13404
21/09/2003,dom,12035
22/09/2003,seg,14712
23/09/2003,ter,14999
24/09/2003,qua,14899
25/09/2003,qui,14821
26/09/2003,sex,14774
27/09/2003,sab,13386
28/09/2003,dom,12144
29/09/2003,seg,14783
30/09/2003,ter,14993
01/10/2003,qua,15110
02/10/2003,qui,14905
03/10/2003,sex,14763
04/10/2003,sab,13510
05/10/2003,dom,12285
06/10/2003,seg,14655
07/10/2003,ter,14895
08/10/2003,qua,15028
09/10/2003,qui,15073
10/10/2003,sex,14955
11/10/2003,sab,13592
12/10/2003,dom,12208
13/10/2003,seg,14574
14/10/2003,ter,15168
15/10/2003,qua,14723
16/10/2003,qui,14962
17/10/2003,sex,14560
18/10/2003,sab,13189
19/10/2003,dom,11702
20/10/2003,seg,14757
21/10/2003,ter,14960
22/10/2003,qua,14879
23/10/2003,qui,14852
24/10/2003,sex,14802
25/10/2003,sab,13493
26/10/2003,dom,12292
27/10/2003,seg,13465
28/10/2003,ter,14502
29/10/2003,qua,14877
30/10/2003,qui,14854
31/10/2003,sex,14646
